crash_city,lat,lon,crash_country,death,airline
Fort Myer,26.640628,-81.8723084,Virginia,1,Military - U.S. Army
AtlantiCity,39.3642834,-74.4229266,New Jersey,5,Military - U.S. Navy
Near Johannisthal,50.2074306,11.2858917,Germany,30,Military - German Navy
Over the North Sea,52.9644453,0.7428461,,14,Military - German Navy
Victoria,-37.4713077,144.7851531,British Columbia,1,Private
Off Cuxhaven,53.859336,8.6879057,Germany,19,Military - German Navy
Tienen,50.81057,4.93622,Belgium,21,Military - German Navy
Off West Hartlepool,54.7112348,-1.2379399,England,20,Military - German Navy
Mainz,49.9928617,8.2472526,Germany,27,Military - German Army
Potters Bar,51.696636,-0.175948,England,19,Military - German Navy
Billericay,51.627903,0.418397,England,22,Military - German Navy
Near Jambol,42.4841999,26.5035023,Bulgeria,20,Military - German Army
Near Luneville,48.592237,6.492339,France,18,Military - German Navy
Off western Denmark,32.0866022,34.8633721,,18,Military - German Navy
Off Vlieland Island,53.2501844,4.9514271,North Sea,24,Military - German Navy
Near Texel Island,53.0995532,4.808668,North Sea,21,Military - German Navy
Off Northern Germany,38.1329445,-88.7482396,,23,Military - German Navy
Near Gent,51.0543422,3.7174243,Belgium,20,Military - German Army
Elizabeth,40.6639916,-74.2107006,New Jersey,1,US Aerial Mail Service
Ameland Island,53.440564,5.6587659,North Sea,19,Military - German Navy
Off Helgoland Island,54.1833116,7.8827444,Germany,22,Military - German Navy
Over the Mediterranean,28.080721,-81.516285,,23,Military - German Navy
Long Valley,40.7859331,-74.7801645,New Jersey,1,US Aerial Mail Service
English Channel,50.134664,-0.357056,,,Aircraft Transport and Travel
Cantonsville,39.2720509,-76.7319161,Maryland,1,US Aerial Mail Service
Newcastle,54.978252,-1.61778,England,1,Aircraft Transport and Travel
Dix Run,40.9064,-77.9395179,Pennsylvania,1,US Aerial Mail Service
Cleveland,41.49932,-81.6943605,Ohio,1,US Aerial Mail Service
Barcelona,41.3850639,2.1734035,Spain,1,Aeropostale
Cricklewood,51.555684,-0.21396,England,4,Handley Page Transport
Tie Siding,41.0802621,-105.5074905,Wyoming,1,US Aerial Mail Service
Batavia,41.8500284,-88.3125738,Illinois,1,US Aerial Mail Service
Valencia,39.4699075,-0.3762881,Spain,2,Latecoere Airlines
Off Port Vendres,42.518487,3.106592,France,2,Latecoere Airlines
Pemberville,41.4108855,-83.46104,Ohio,1,US Aerial Mail Service
Morristown,40.7967667,-74.4815438,New Jersey,2,US Aerial Mail Service
College Park,38.9896967,-76.93776,Maryland,2,US Aerial Mail Service
Bedford,32.844017,-97.1430671,England,1,US Aerial Mail Service
Cleveland,41.49932,-81.6943605,Ohio,1,By Air
Oskaloosa,41.2916728,-92.6493595,Iowa,1,US Aerial Mail Service
Heller Field,40.9356001,-74.6611769,New Jersey,1,US Aerial Mail Service
Newark,40.735657,-74.1723667,New Jersey,1,US Aerial Mail Service
Newark,40.735657,-74.1723667,New Jersey,1,US Aerial Mail Service
New Paris,41.5033572,-85.8307059,Indiana,1,US Aerial Mail Service
Paris,48.856614,2.3522219,France,1,US Aerial Mail Service
Toulouse,43.604652,1.444209,France,5,Franco-Roumaine
San Francisco,37.7749295,-122.4194155,California,2,Aeropostale
Rock Springs,41.5874644,-109.2029043,Wyoming,1,US Aerial Mail Service
Cleveland,41.49932,-81.6943605,Ohio,1,US Aerial Mail Service
Mitchel Field,53.3122275,-60.3342694,NY,1,US Aerial Mail Service
Point Cook,-37.9094988,144.7518764,Australia,1,US Aerial Mail Service
Elko,40.8324211,-115.7631232,Nevada,1,Military - Royal Australian Air Force
Off Gibraltar,16.4180867,120.6213966,,1,US Aerial Mail Service
La Crosse,43.8013556,-91.2395807,Wisconsin,2,Aeropostale
Mendotta,41.5472547,-89.1175851,Minnisota,3,US Aerial Mail Service
Near Murchinson River,-27.6698729,114.1967424,Australia,1,US Aerial Mail Service
River Humber,53.6339758,-0.2765141,England,3,West Australian Airways
Fez,34.0181246,-5.0078451,Morocco,46,Military - Royal Airship Works
Larache,35.1744271,-6.1473964,Morocco,1,Grands Express Aeriens
Venice,45.4408474,12.3155151,Italy,2,Grands Express Aeriens
Indianapolis,39.768403,-86.158068,Indiana,4,
Cadix,36.5270612,-6.2885962,Spain,1,US Aerial Mail Service
Off Folkestone,51.0887953,1.1800845,Kent,3,Grands Express Aeriens
Brooklands,-26.741769,151.8194546,England,3,Cie des Messageries Aeriennes
Pao Ting Fou,38.566903,114.483839,China,3,Vickers
Grandvilliers,49.665342,1.939705,France,17,
Near Norfolk,36.8507689,-76.2858726,Virginia,7,Daimler Airways / Grands Express Aeriens
Paris,48.856614,2.3522219,France,34,Military - U.S. Army Air Service
Over the Mediterranean Sea,34.5531284,18.0480105,,5,Handley Page Transport
Egbert,41.1697041,-104.2568991,WY,52,Military - French Navy
Castalia,41.4000523,-82.8085204,Ohio,1,US Aerial Mail Service
Russia,61.52401,105.318756,,1,US Aerial Mail Service
Berks,40.3451566,-75.9927652,England,2,CCCP
Colton,34.0739016,-117.3136547,Ohio,6,Daimler Airways
Bucharest,44.4267674,26.1025384,Romania,1,US Aerial Mail Service
Monsures,49.70958,2.17198,France,2,Campagnie France Roumaine
Meadville,41.6414438,-80.1514484,Pennsylvania,6,Grands Express Aeriens
Cheyenne,41.1399814,-104.8202462,Wyoming,1,US Aerial Mail Service
Barcelona,41.3850639,2.1734035,Spain,1,US Aerial Mail Service
Ajaccio,41.919229,8.738635,France,1,Grands Express Aeriens
Over the English Channel,50.134664,-0.357056,,3,Amee de l'Air
Purley,51.339228,-0.119711,England,3,KLM Royal Dutch Airlines
Goshen,41.5822716,-85.8344383,Indiana,8,Imperial Airways
Cabrerolles,43.545815,3.125343,France,1,US Aerial Mail Service
United States,37.09024,-95.712891,,1,Grands Express Aeriens
Barranquilla,11.0041072,-74.8069813,Colombia,1,US Aerial Mail Service
Grampian,56.9166667,-4,Pennsylvania,3,SCADTA
Caldwell,43.6629384,-116.6873596,Ohio,1,US Aerial Mail Service
Off Boulogne-sur-Mer,50.725231,1.613334,France,14,Military - U.S. Navy
Toul,48.678296,5.890159,France,2,Air Union
Budapest,47.497912,19.040235,Hungary,3,CIDNA
Rosas,19.0101325,-98.2173966,Spain,1,CIDNA
Alicante,38.3459963,-0.4906855,Spain,1,Lignes Aeriennes Latecoere
Landr√©cies,50.125434,3.691623,France,2,Grands Express Aeriens
Alicante,38.3459963,-0.4906855,Spain,4,KLM Royal Dutch Airlines
Alicante,38.3459963,-0.4906855,Spain,2,Lignes Aeriennes Latecoere
Nittany Mt,40.8277,-77.7731,Ohio,4,Grands Express Aeriens
New York,40.7127837,-74.0059413,New York,5,Zakavia
Medford,42.3265152,-122.8755949,Oregon,1,US Aerial Mail Service
Cape Bojador,26.2666667,-14.4,Morocco,2,
English Channel,50.134664,-0.357056,,7,Compagnie Internationale de Navigation AÈrienne
Bueren,51.55092,8.5597678,Germany,1,PacifiAir Transport
Hurst,32.8234621,-97.1705678,Kent,3,Grands Express Aeriens
Juist,53.681385,7.008163,Germany,0,Imperial Airways
Wolvertem,50.95088,4.30927,Belgium,4,Deutsche Lufthansa
English Channel,50.134664,-0.357056,,4,Air Union
Staaken,52.5348604,13.1431864,Germany,4,Deutsche Lufthansa
Montpelier,44.2600593,-72.5753869,Ohio,2,KLM Royal Dutch Airlines
Schleiz,50.5761665,11.8090005,Germany,1,Air Union
Sevenoaks,51.27241,0.190898,England,1,Deutche Lufthansa
Hadley,42.3417565,-72.5884222,New Jersey,1,US Aerial Mail Service
France,46.227638,2.213749,,6,Deutsche Lufthansa
Almeria,36.834047,-2.4637136,Spain,1,KLM Royal Dutch Airlines
Corunna,43.3623436,-8.4115401,Indiana,7,Reynolds Airways
Over the Gulf of Finland,59.9124514,26.2623373,,4,Latecoere Airlines
Strasburg,48.5734053,7.7521113,France,1,Aeropostale
New Brunswick,40.4862157,-74.4518188,New Jersey,2,Aeropostale
Thies,14.7910052,-16.9358604,Mauritania,1,National Air Transport
Saale,51.37795,11.857969,Germany,6,Aero O-Y
Willington,52.8534194,-1.56489,Connecticut,1,CIDNA
Amoneburg,50.797725,8.9219942,Germany,4,Colonial Air Transport
Algiers,36.7537703,3.0587927,Algeria,2,Lignes Aeriennes Latecoere
Floh,50.9305556,8.9094444,Germany,2,Deutsche Lufthansa
Goshen,41.5822716,-85.8344383,Indiana,1,Colonial Air Transport
King Hill,39.2909035,-79.5472764,Idaho,5,Deutsche Lufthansa
Tambo,-2.5020275,-78.9175088,Qld,1,Air Union
Rabat,33.9715904,-6.8498129,Morocco,2,Deutsche Lufthansa
Lille,50.62925,3.057256,France,1,US Aerial Mail Service
Lebo,38.4166818,-95.8530441,Kansas,1,Varney Air Lines
Huron,45.0521793,-82.485094,Ohio,3,Qantas
Edgerton,42.8352835,-89.0676125,Ohio,1,Grands Express Aeriens
Edgerton,42.8352835,-89.0676125,Ohio,2,KLM Royal Dutch Airlines
Near Canajoharie,42.9056288,-74.5718073,New York,1,National Air Transport
Spur,33.4764767,-100.8556857,Texas,1,National Air Transport
Purley,51.339228,-0.119711,England,3,Universal Airlines
Near Port Townsend,48.1170387,-122.7604472,BC,3,Continental Air Lines
Reims,49.258329,4.031696,France,3,Colonial Western Airlines
Chattanooga,35.0456297,-85.3096801,Tennessee,5,Sunbeam Air Transport Co.
Letzlingen,52.4465493,11.4862361,Germany,4,Imperial Airways
