crash_city,crash_country,lat,lon,death,airline,ori,year,dest
Abidjan,Ivory Coast,5.3599517,-4.0082563,50,Varig,Abidjan,1987,Rio de Janeiro
Over the Andaman Sea,No Record Found,10.2845439,98.4403573,115,Korean Airlines,Abu Dhabi,1975,Bangkok
Sierra de Guerro,Mexico,19.3261967,-99.0407823,18,Aeromexico,Acapulco,1986,Guadalajara
Addis Ababa,Ethiopia,8.9806034,38.7577605,43,East African Airways,Addis Ababa,1973,Rome
Off Aden,Yemen,12.7854969,45.0186548,20,Alyemda,Aden,1972,Al Kari
Aden,Yemen,12.7854969,45.0186548,3,Alyemda Airlines,Aden,1988,Abu Dahbi
Near Adler,Russia,43.4343234,39.9339462,109,Aeroflot,Adler,1976,Moscow
Casablanca,Morocco,33.5731104,-7.5898434,61,Royal Air Maroc,Agadir,1988,Casablanca
Agana,Guam,13.4762824,144.7502228,2,Island Air,"Agana, Guam",1977,"Rota, TT"
Tehran,Iran,35.6891975,51.3889736,60,Military - Iranian Air Force,Ahwaz,1987,Tehran
Kaiserslautern,West Germany,49.4400657,7.7491265,3,Military - Italian Air Force,Air show,1972,No Record Found
Opole,Poland,50.6751067,17.9212976,11,APRL,Airshow,1977,No Record Found
Springfield,Illinois,39.7817213,-89.6501481,3,Saturn Airways,"Alameda, CA",1988,"Indianapolis, IN"
Mt. Pilot Knob,Glen Falls,43.4889579,-73.6065042,14,Mohawk Airlines,Albany,1974,Glenn Falls
Albuquerque,New Mexico,35.0853336,-106.6055534,9,Ross Aviation - Air Taxi,"Albuquerque, NM",1980,"Sante Fe, NM"
Grants,New Mexico,35.14726,-107.8514466,4,Orlando Airways - Air Taxi,"Albuquerque, NM",1970,"Gallup, NM"
Engle,New Mexico,33.1784859,-107.0216377,4,Southwest Aviation - Air Taxi,"Albuquerque, NM",1981,"Las Cruces, NM"
Durango,Colorado,37.27528,-107.8800667,4,Sun West Airline - Air Taxi,"Albuquerque, NM",1988,"Durango, CO"
Carson,New Mexico,36.3644667,-105.7652927,3,Air Taxi,"Albuquerque, NM",1975,"Taos, NM"
Skaugum,Norway,62.2999168,6.9332661,40,Braathens,Alesund,1980,Oslo
Ben Gashir,Libya,32.687778,13.173889,16,United Arab Airlines,Algers,1985,Boumediene
Near Sarroch,Italy,39.0654974,9.0108377,31,Aero Transporti Italiani,Alghero,1972,Cagliari
Off Algiers,Algeria,36.7537703,3.0587927,31,Rousseau Aviaiton,Algiers,1988,Menorca
Morristown,New Jersey,40.7967667,-74.4815438,1,Northeast Jet,"Allentown, PA",1981,"Morristown, NJ"
Chadron,Nebraska,42.8294187,-102.9999069,2,Air Taxi,"Alliance, AK",1979,"Chadron, NE"
Nar Alma-Ata,Kasakastan,43.2220146,76.8512485,166,Aeroflot,Alma Ata,1973,Simferopol
Hornell,New York,42.3278477,-77.6611025,3,Seventy Airways - Air Taxi,"Almond Dam, NY",1982,"Salamanica, NY"
Altus,Oklahoma,34.637765,-99.3340442,2,Air Taxi - Oklahoma Airways Inc.,"Altus, OK",1981,"Oklahoma City, OK"
Shungnak,Alaska,66.8880556,-157.1363888,7,Ambler Air Service,"Ambler, AK",1974,"Kobuk, AK"
Near Doha Airport,Qatar,25.2684883,51.5574834,45,Alia Royal Jordanian Airlines,Amman,1969,Doha
Amman,Jordan,31.9565783,35.9456951,5,Aeroflot,"Amman, Jordan",1970,"Beiruit, Lebanon"
Deadhorse,Alaska,70.2001996,-148.4597191,2,Gay Airways - Air Taxi,"Anaktuvak, AK",1986,"Deadhorse, AK"
Anaktuvuk,Alaska,70.2095972,-150.9837663,5,Frontier Flying Service - Air Taxi,"Anaktuvuk, AK",1981,"Bettles, AK"
Anchorage,Alaska,61.2180556,-149.9002778,47,Capital Airlines,Anchorage,1988,Yokota AFB
Near Juneau,Alaska,58.3019444,-134.4197222,111,Alaska Airlines,Anchorage,1969,Seattle
Seoul,South Korea,37.566535,126.9779692,15,Korean Airlines,Anchorage,1974,Seoul
Near Sakhalin Island,Russia,50.6909848,142.9505689,269,Korean Airlines,Anchorage,1978,Seoul
Near Juneau,Alaska,58.3019444,-134.4197222,4,Jet Alaska,Anchorage,1975,Juneau
Off the Alaska coast,No Record Found,59.864755,-151.792311,4,Private,"Anchorage, AK",1972,"Juneau, AK"
Anchorage,Alaska,61.2180556,-149.9002778,6,Winship Air,"Anchorage, AK",1969,"Deadhorse, AK"
Whittier,AK,60.7730556,-148.6838889,6,Alaska Travel,"Anchorage, AK",1982,"Whittier, AK"
Anchorage,Alaska,61.2180556,-149.9002778,4,Spernak Airway - Air Taxi,"Anchorage, AK",1970,"Anchorage, AK"
Anchorage,Alaska,61.2180556,-149.9002778,7,Soldotna Air Services,"Anchorage, AK",1971,"Kenai, AK"
Anchorage,Alaska,61.2180556,-149.9002778,5,Air Taxi,"Anchorage, AK",1985,"Cantwell, AK"
Soldotna,Alaska,60.4877778,-151.0583332,9,North PacifiAirlines,"Anchorage, AK",1972,"Anchorage, AK"
Gulkana,Alaska,62.2086338,-145.4514817,3,Air Taxi - Jet Alaska,"Anchorage, AK",1974,"Gulkana, AK"
Swentna,Alaska,61.923613,-151.1683574,3,Jay Hawk Air - Air Taxi,"Anchorage, AK",1982,"McGrath, AK"
AtlantiOcean,No Record Found,-14.5994134,-28.6731465,8,Air Taxi,Anguilla,1984,"St. Thomas, VI"
Wisconson,No Record Found,43.7844397,-88.7878678,6,Valley Air Service - Air Taxi,"Anguilla Island, WI",1971,"Beef Island, WI"
Ankara,Turkey,39.9333635,32.8597419,41,Turkish Airlines (THY),Ankara,1971,Samsun
Faleolo,Western Samoa,-13.8320165,-172.0121023,32,Polynesian Airlines,"Apia, Western Samoa",1973,"Pago Pago, American Samoa"
Valley,Nebraska,41.3110284,-96.3465622,13,Air Wisconsin,"Appleton, WI",1987,"Minneapolis, MN,"
Villavicencio,Colombia,4.1513822,-73.6376905,6,Lineas Aéreas La Urraca,Arauca,1975,Cucuta
Cerro Toledo Mountain,Colombia,41.6639383,-83.555212,19,SATENA,Arauca,1971,Bogota
Winfield,Kansas,37.2397486,-96.9955918,2,Smyer Aircraft - Air Taxi,"Arkansas City, KS",1973,"White Plains, NY"
Leshukonskoye,Russia,53.337199,91.9334697,44,Aeroflot,Arkhangelsk,1984,Leshukonskoye
Near Artigas,Uruguay,-30.4880891,-57.1013188,44,Military - Uruguayan Air Force,Artigas,1975,Montevideo
Near Asmara,Ethiopia,11.2452778,41.5438889,54,Military - Ethiopian Air Force,Asrmara,1981,Addis Ababa
Near La Paz,Bolivia,-16.489689,-68.1192936,29,Eastern Air Lines,"Asuncion, Paraguay",1979,"La Paz, Bolivia"
Near Huete,Spain,40.1435735,-2.6896893,24,Military - U.S. Air Force,Athens,1978,Madrid
Kozani,Greece,40.3005808,21.7898132,50,OlympiAirways,Athens,1974,Larisa
Luqa,Malta,35.8582865,14.4868883,60,EgyptAir,Athens,1984,Cairo
Athens,Greece,37.983917,23.7293599,1,Trans World Airlines,Athens,1970,Rome
Near Katab,Egypt,30.6296745,31.0825234,5,Bahri Aviation,"Athens, Greece",1987,"Jeddah, Saudi Arabia"
Near Monroe,Georgia,33.7948364,-83.713229,14,Air South,"Atlanta, GA",1976,"Sumpter, SC"
Roanoke,Virginia,37.2709704,-79.9414266,6,Private,"Atlanta, GA",1969,"Martinsville, VA"
Cape May,New Jersey,38.9351125,-74.9060053,3,AtlantiCity Airlines,AtlantiCity,1974,Cap May
AtlantiCity,New Jersey,39.3642834,-74.4229266,2,Air Taxi - Islip Airco Inc.,"AtlantiCity, NJ",1972,"AtlantiCity, NJ"
Pago Pago,American Samoa,-14.2756319,-170.7020359,96,Pan American World Airways,Auckland,1974,Pago Pago
Near Mt. Erebus,Ross Ice Shelf,52.6322222,-118.2666666,257,Air New Zealand,Auckland,1988,Christchurch
Off Papeete,Tahiti,-17.5516251,-149.5584758,78,Pan American World Airways,"Auckland, NZ",1984,"Papeete, Tahiti"
Avalon,California,33.3428193,-118.3282279,2,Shanair Inc. - Air Taxi,"Avalon, CA",1988,"Visalia, CA"
Gondar,Ethiopia,12.6030181,37.4521319,11,Ethiopian Airlines,Axum,1974,Gondar
Elburz Mtns.,near Laskarak,No Record Found,No Record Found,128,Iran National Airlines,Babol Sar,1969,Tehran
Ay,Saudi Arabia,29.0411111,35.2602778,63,Iraqi Airways,Baghdad,1973,Amman
Near Bahar Dar,Ethiopia,11.5742086,37.3613533,1,Ethiopian Airlines,Bahar Dar,1970,Debra Marcos
Bahar Dar,Ethiopia,11.5742086,37.3613533,35,Ethiopian Airlines,Bahar Dar,1986,Asmara
Bahawalpur,Pakistan,29.3957215,71.6833331,30,Military - Pakistan Air Force,Bahawalpur,1973,Islamabad
Eagleville,California,41.3161995,-120.1156498,2,Dunlap Aviation - Air Taxi,"Bakersfield, CA",1979,"Long Beach, CA"
Near Zahedan,Iran,29.451926,60.8841983,103,Military - Iranian Air Force,Bakhtaran,1975,Zahedan
Pochinok,Russia,54.4083235,32.4373768,4,Aeroflot,Baku,1975,Leningrad
Baltimore,Maryland,39.2903848,-76.6121893,1,Delta Air Lines,Baltimore,1982,Atlanta
Chalkhill,Pennsylvania,39.8441427,-79.616648,4,Zantop International Airlines,Baltimore,1983,Detroit
Near Ouagadougou,Upper Volta,12.3714277,-1.5196603,47,Air Mali,"Bamako, Mali",1985,"Kano, Nigeria"
Bamiyan,Afghanistan,34.9073296,67.1894488,4,Bakhtar Afghan Airlines,Bamiyan,1988,Kabul
Pha Khao,Laos,18.6591233,104.6095976,1,Air America,Ban Xon,1981,Pha Khao
Medan-Polonia,Indonesia,3.5642564,98.6669345,27,Garuda Indonesia Airlines,Banda Aceh,1982,Medan
Over the Persian Gulf,near Bandar Abbas,27.1832216,56.2666455,290,Iran Air,Bandar Abbas,1978,Dubai
Near Tanana,Alaska,65.1719444,-152.0788889,3,Air Taxi,"Banddanack, AK",1969,"Fairbanks, AK"
Near New Delhi,India,28.6139391,77.2090212,82,Japan Air Lines,Bangkok,1975,Delhi
Near Pleiku,Vietnam,14.004481,108.016797,81,Cathay PacifiAirways,Bangkok,1980,Hong Kong
Combi,Cyprus,35.126413,33.429859,2,Kuwait Airways,Bangkok,1980,Kuwait
Near Jakarta,Indonesia,-6.2087634,106.845599,37,Bouraq Indonesia Airlines,Banjarmasin,1971,Sjamsudin Noor
Near Grytoya,Norway,68.9215599,16.5271901,19,Military - Royal Norwegian Air Force,Bardufoss,1985,Bodoe
Puerto Olaya,Colombia,6.626961,-75.8127,3,Aeronorte Colombia,Barranquilla,1980,Bogota
Barranquilla,Colombia,11.0041072,-74.8069813,4,Aerosucre Colombia,Barranquilla,1984,Bogota
Gainsville,Florida,29.6516344,-82.3248262,3,Tampa Air Center - Air Taxi,"Bartow, FL",1988,"Lake City, FL"
Habsheim,France,47.728415,7.415866,3,Air France,Basel,1981,Basel
Off Bata,Equatorial Guinea,1.8533177,9.7790227,22,Military - Spanish Air Force.,Bata,1988,Malabo
Battambang,Khmer Republic,39.807989,-97.6982272,19,Cambodia Air,Battambang,1972,Phnom Penh
Near Agudos,Brazil,-22.4714626,-48.9790314,18,TAM Lineas Aéreas Regional,Bauru,1973,Sao Paulo
Near Chungking,Sichuan,29.56301,106.551556,108,China Southwest Airlines,Beijing,1973,Chongqing
Near Al Qaysumah,Saudi Arabia,25.7399999,43.1599999,82,Middle East Airlines,Beirut,1976,Dubai
Diemas,Syria,33.5417519,36.1144762,9,Military - Canadian Air Force,"Beirut, Lebanon",1973,"Damascas, Syria"
Sao Luis,Brazil,-2.5391099,-44.2829046,23,Cruzeiro,Belem,1975,Sao Luis
New Orleans,Louisiana,29.9510658,-90.0715323,0,TACA,"Belize City, Belize",1976,"New Orleans, LA"
Near Beni,Bolivia,-14.3782747,-65.0957792,2,Sabeni,Beni,1974,La Paz
Off Bergen,Norway,60.3912628,5.3220544,18,Helikopter Service,Bergen,1985,Stratjford
Mehamn,Norway,71.0357069,27.8489411,15,Wideroe's Flyveselksap,Berlevag,1977,Mehamn
Near Konigs Wusterausen,East Germany,52.2958906,13.6228382,156,Interflug,Berlin,1974,Birgas
Budapest,Hunary,47.497912,19.040235,9,Malev Hungarian Airlines,Berlin,1974,Budapest
Sofia,Bulgaria,42.6977082,23.3218675,50,Balkan Bulgarian Airlines,Berlin,1984,Sofia
Kasigluk,Alaska,60.8955556,-162.5180556,2,Harry Faulkner - Air Taxi,"Bethel, AK",1976,"Chevak, AK"
Nightmute,Alaska,60.4794444,-164.7238889,2,Village Aviation - Air Taxi,"Bethel, AK",1975,"Tooksook, Alaska"
Bethel,Alaska,60.7922222,-161.7558333,2,Air Taxi- Hermans Air Inc.,"Bethel, AK",1976,"Chevak, AK"
Quinhagaki,Alaska,59.7488889,-161.9158333,4,Air Taxi,"Bethel, AK",1979,"Quinhagaki, AK"
Near Gia Dinh,South Vietnam,10.8230989,106.6296638,34,Military - U.S. Army,Bien Hoa,1983,Vung Tau
Pickle Lake,Ontario,51.467825,-90.193782,2,Air Manitoba,Big Trout,1971,Pickle Lake
Billings,Vermont,43.4994109,-72.7094757,3,Mamer - Shreck - Air Taxi,"Billings, MT",1987,"Cody, WY"
Hannover,Germany,52.3758916,9.7320104,2,Starair,Billund,1978,Hannover
North AtlantiOcean,No Record Found,35.746512,-39.462891,2,Flamingo Airlines - Air Taxi,"Bimini, Bahamas",1969,"Nassau, Bahamas"
Binghamton,New York,42.0986867,-75.9179738,3,Commuter Airline - Air Taxi,"Binghamton, NY",1979,Washington DC
Bainbridge,New York,42.2934131,-75.4793477,4,Air Taxi - Delaware Aviation LLC,"Binghamton, NY",1985,"Bainbridge, NY"
Bishop,California,37.3614238,-118.3996636,36,Sierra PacifiAirlines,Bishop,1973,Burbank
Cortez,Colorado,37.3488827,-108.5859265,2,Air Taxi - Four Corners Aviation Inc.,"Blanding, UT",1973,"Farnington, New Mexico"
Ulongue,Malawi,-14.7079516,34.3587921,10,Air Malawi,Blantyre,1974,Lilongwe
Near Hennenman,South Africa,-27.9783916,27.026445,24,United Airways,Bloemfontein,1983,Johannesburg
Near Medina,Colombia,4.508399,-73.349853,28,SATENA,Bogota,1978,Villavicencio
Near Funza,Colombia,4.717029,-74.21225,20,Lineas Aéreas la Urraca,Bogota,1973,San Andres
Near Valledupar,Colombia,10.4742449,-73.2436335,19,TAC Colombia,Bogota,1981,Valledupar
Bogota,Colombia,4.7109886,-74.072092,42,Aerovias Brasil,Bogota,1969,Cartagena
Bogota,Colombia,4.7109886,-74.072092,2,Aerovias Condor,Bogota,1975,Barranquilla
Barranquilla,Colombia,11.0041072,-74.8069813,4,AVIANCA,Bogota,1985,Barranquilla
Near Bogota,Colombia,4.7109886,-74.072092,13,Taxi Aereo el Venado,Bogota,1981,La Macarene
Bogota,Colombia,4.7109886,-74.072092,8,LAC Colombia,Bogota,1986,Barranquilla
Near Florencia,Colombia,1.6153858,-75.6042364,46,SATENA,Bogota,1983,San Vicente del Caguán
Near Saravena,Colombia,6.956107,-71.872595,13,ACES Colombia,Bogota,1980,Saravena
Bernard Creek,Idaho,45.3813844,-116.5661505,5,Gaige Aviation - Air Taxi,"Boise, ID",1981,"Flying B Ranch, ID"
Pistol Creek,Idaho,44.7215726,-115.176106,6,Boise Air Service,"Boise, ID",1975,"Indian Creek, ID"
Pontiac,Michigan,42.6389216,-83.2910468,2,Air Taxi - Richards Aviation Inc.,"Bolivar, TN",1985,"Pontiac, MI"
Near Turin,Italy,45.070312,7.6868565,38,Itavia,Bologna,1979,Torino
Tyrrhenian Sea,off Ustica,38.7031179,13.1682675,81,Itavia,Bologna,1975,Palermo
Off Bandra,Maharashtra,19.0606917,72.8362497,213,Air India,Bombay,1972,Dubai
