year,ori,dest,crash_city,crash_country,lat,lon,death,airline
1954,Churchchrist,Paraparaumu,Paraparaumu,New Zealand,-40.900557,174.885971,3,New Zealand National Airways
1957,Paraparaumu,Timaru,Christchurch,New Zealand,-40.900557,174.885971,4,Straits Air Freight Express
1949,Auckland,Wellington,Near Waikanae,New Zealand,-40.900557,174.885971,15,New Zealand National Airways
1963,Auckland,Whenuapai,Mt. Ngatamahinerua,New Zealand,-40.900557,174.885971,23,New Zealand National Airways
1959,Mar del Plata,Bahia Blanca,Off Mar del Plata,Aregntina,-38.416097,-63.616672,10,Aerolineas Argentinas
1950,Mar del Plata,Buenos,Santiago del Estado,Argentina,-38.416097,-63.616672,17,Aerolineas Argentinas
1966,Rio Gallegos,Buenos Aires,Puertos Lobos,Argentina,-38.416097,-63.616672,1,Aerovias Halcon
1964,Rosario,Buenos Aires,Zarate,Argentina,-38.416097,-63.616672,28,Aerolineas Litoral Argentina
1951,Ushuaia,Buenos Aires,Rio Grande,Argentina,-38.416097,-63.616672,11,Aerolineas Argentinas
1961,Buenos Aires,Comodoro,Near Azul,Argentina,-38.416097,-63.616672,67,Aerolineas Argentinas
1954,Mendoza,Cordoba,Sierra del Vilgo,Argentina,-38.416097,-63.616672,25,Aerolineas Argentinas
1961,Salta,Cordoba,Buenos Aires,Argentina,-38.416097,-63.616672,24,Transcontinental
1960,Buenos Aires,Lima,San Andres de Giles,Argentina,-38.416097,-63.616672,31,Military - Argentine Air Force
1957,Buenos Aires,Mar Del Plata,Near Buenos Aires,Argentina,-38.416097,-63.616672,17,Fuerza Aérea Argentina
1959,Buenos Aires,Mar del Plata,Off Mar del Plata,Argentina,-38.416097,-63.616672,51,Austral Lineas Aeras (Argentina)
1956,Buenos Aires,Rio Cuarto,Rio Cuarto,Argentina,-38.416097,-63.616672,18,Aerolineas Argentinas
1957,Buenos Aires,Rosario,Buenos Aires,Argentina,-38.416097,-63.616672,9,Aerolineas Argentinas
1957,Buenos Aires,San Carlos,Bolivar,Argentina,-38.416097,-63.616672,61,Aerolineas Argentinas
1960,Buenos Aires,Santiago,El Sosneado,Argentina,-38.416097,-63.616672,10,Transamerican Air Transport
1950,Belgrad,Paula,Near Zagreb,Yugoslavia,-36.7810028,-73.11038,10,JAT Yugoslav Airlines
1951,Belgrad,Skopje,Skopje,Yugoslavia,-36.7810028,-73.11038,12,JAT Yugoslav Airlines
1965,Santiago,Buenos Aires,San Jose Volcano,Chile,-35.675147,-71.542969,87,LAN
1959,"Arica, Colombia","Puerto Suarez, Bolilvia",Belen,Chile,-35.675147,-71.542969,5,Southern Cross Airways
1961,Temuco,Santiago,Llico,Chile,-35.675147,-71.542969,24,LAN
1961,Sydney,Canberra,Sydney,NSW,-33.864174,151.2052868,15,Ansett ANA
1960,Asuncion,Buenos Aires,Near Salto,Uruguay,-32.522779,-55.765835,31,Aerolineas Argentinas
1957,San Pablo,Porto Alegre,Montevideo,Uruguay,-32.522779,-55.765835,1,REAL
1951,Port Elizabeth,Durbin,East Griqualand,South Africa,-30.559482,22.937506,17,South African Airways
1967,Port Elizabeth,East London,Off East London,South Africa,-30.559482,22.937506,25,South African Airways
1962,Grahamtown,Queentown,Near Seymour,South Africa,-30.559482,22.937506,2,South African Airways
1960,Darwin,Baucau,Off Bathurst Island,Australia,-25.274398,133.775136,9,Transportes Aéreos de Timor
1949,Coolangatta,Brisbane,Coolangatta,Australia,-25.274398,133.775136,16,Queensland Airlines
1949,Guildford,Darwin,Near Guildford,Australia,-25.274398,133.775136,18,MaRoberston-Miller Airlines
1966,Mount Isa,Longreach,Winton,Australia,-25.274398,133.775136,24,Ansett ANA
1950,Guildford,Melbourne,York,Australia,-25.274398,133.775136,29,Ansett ANA
1955,Sao Paulo,Asuncion,Near Asuncion,Paraguay,-23.442503,-58.443832,16,Panair do Brasil
1968,Windhoek,Luanda,Near Windhoek,South Africa (Namibia),-22.95764,18.49041,123,South African Airways
1968,Saint Denis,Paris,Near Saint Denis,Reunion,-21.115141,55.536384,19,Military - French Air Force
1960,Rockhampton,MacKay,Off Mackay,Qld. Australia,-20.9175738,142.7027956,29,Trans Australia Airlines
1955,Salisbury,Lusaka,Salisbury,Zimbabwe,-19.015438,29.154857,1,Central African Airways
1958,Johannesberg,Salisbury,Salisbury,Zimbabwe,-19.015438,29.154857,3,Union Aeromaritime de Transport
1950,Antananarivo,Tamatave,Near Tamatave,Madagascar,-18.766947,46.869107,14,Societe Transatlantique Aerienne
1966,Riberalta,Cochabamba,Benito,Bolivia,-16.290154,-63.588653,3,Lloyd Aéreo Boliviano
1950,Valle grande,Cochabamba,Near Vacas,Bolivia,-16.290154,-63.588653,32,Military - Bolivian Air Force
1960,Laguna de Huana,Costa,Laguna de Huana-Costa,Boliva,-16.290154,-63.588653,59,Lloyd Aereo Boliviano
1963,Arica,La Paz,Near Charana,Bolivia,-16.290154,-63.588653,41,Lloyd Aereo Boliviano
1958,San Borja,La Paz,La Paz,Bolivia,-16.290154,-63.588653,3,TAM (Bolivia)
1958,Tipuani,La Paz,Near La Paz,Bolivia,-16.290154,-63.588653,11,TAM (Bolivia)
1964,Tipuani,La Paz,Tripuani,Bolivia,-16.290154,-63.588653,17,Aerolineas Abaroa
1957,Cochabamba,Oruro,Near Sayari,Bolivia,-16.290154,-63.588653,19,Lloyd Aereo Boliviano
1951,Cochabamba,Rio de Janeiro,Cochabamba,Bolivia,-16.290154,-63.588653,7,Loide Aéreo Nacional
1962,Caranavi,Rurrenabaque,Near Alcoche,Bolivia,-16.290154,-63.588653,4,Aerolineas Abaroa
1953,Camiri,Suere,Potosi,Bolivia,-16.290154,-63.588653,28,Lloyd Aereo Boliviano
1958,Fortin Campero,Tarija,Villa Montes,Bolivia,-16.290154,-63.588653,20,TAM (Bolivia)
1960,La Paz,Tipuani,Near Tipuani,Bolivia,-16.290154,-63.588653,6,TAM (Bolivia)
1951,Maceio,Aracaju,Aracaju,Brazil,-14.235004,-51.92528,33,Loide Aereo Nacional
1952,Sao Paulo,Bauru,Sao Paulo,Brazil,-14.235004,-51.92528,5,VASP
1961,Rio de Janerio,Belem,Near Natal,Brazil,-14.235004,-51.92528,23,Military - Brazilian Air Force
1955,Sao Paulo,Belem,Sao Paulo,Brazil,-14.235004,-51.92528,26,Cruzeiro Do Sud
1954,Governador Valadares,Belo Horizonte,Cipo Mountain,Brazil,-14.235004,-51.92528,19,Transportes Aereos Nacionales
1962,Rio de Janeiro,Brasilia,Near Brasilia,Brazil,-14.235004,-51.92528,1,Varig
1952,Rio de Janeiro,Buenos Aires,Off Rio de Janeiro,Brazil,-14.235004,-51.92528,1,Pan American World Airways
1967,Belem,Cachimbo,Near Coari,Brazil,-14.235004,-51.92528,20,Military - Brazilian Air Force
1955,Rio de Janeiro,Caravelas,Caparao Mountain,Brazil,-14.235004,-51.92528,13,Cruzeiro
1958,Florianopolis,Curitiba,Curitiba,Brazil,-14.235004,-51.92528,19,Cruzeiro
1967,Sao Paulo,Curitiba,Near Curitiba,Brazil,-14.235004,-51.92528,21,Sadia
1958,Rio de Janerio,Fortaleza,Rio de Janeiro,Brazil,-14.235004,-51.92528,5,Loide Aéreo Nacional
1952,Rio Verde,Goiania,Palmeira de Goias,Brazil,-14.235004,-51.92528,24,Transportes Areos Nacionales
1952,Rio de Janeiro,Guiana,Uberlandia,Brazil,-14.235004,-51.92528,8,Panair do Brasil
1961,Lisbon,Ilha do Sal,Near Recife,Brazil,-14.235004,-51.92528,45,Panair do Brasil
1949,"Sao Palo, Brazil","Jacarezinho, Panama",Taquaracucu,Brazil,-14.235004,-51.92528,20,REAL
1962,Rio de Janeiro,Lisbon,Rio de Janerio,Brazil,-14.235004,-51.92528,15,Panair do Brazil
1962,Belem,Manaus,Near Manaus,Brazil,-14.235004,-51.92528,50,Panair do Brasil
1960,Cuiaba,Manaus,Cachimbo,Brazil,-14.235004,-51.92528,15,REAL
1952,Rio de Janeiro,New York City,Near Carolina,Brazil,-14.235004,-51.92528,50,Pan American World Airways
1956,Belem,Parintins,Parintins,Brazil,-14.235004,-51.92528,3,Panair do Brasil
1963,Carazinbo,Passo Fundo,Passo Fundo,Brazil,-14.235004,-51.92528,15,Varig
1950,Rio de Janeiro,Porte Algegre,Porte Alegre,Brazil,-14.235004,-51.92528,50,Panair do Brasil
1949,Florianpolis,Porto Alegre,Near Florianpolis,Brazil,-14.235004,-51.92528,27,Military - Brazilian Air Force
1949,Sao Paulo,Porto Alegre,Jaquirana,Brazil,-14.235004,-51.92528,5,Varig
1952,Sao Paulo,Porto Alegre,San Fransisco do Paula,Brazil,-14.235004,-51.92528,14,REAL
1954,Sao Paulo,Porto Alegre,Sao Paulo,Brazil,-14.235004,-51.92528,3,Varig
1965,Mato Grosso,Porto Velho,Near Cuiaba,Brazil,-14.235004,-51.92528,13,Paraense Transportes Aéreos
1951,Santa Cruz de Rio Prado,Presidente Prudent,Rancharia,Brazil,-14.235004,-51.92528,6,VASP
1960,Belo Horizonte,Rio de Janeiro,Rio de Janeiro,Brazil,-14.235004,-51.92528,54,REAL
1960,Campos,Rio de Janeiro,Rio de Janeiro,Brazil,-14.235004,-51.92528,61,REAL / Military - U.S. Navy
1959,Hamburg,Rio de Janeiro,Rio de Janeiro,Brazil,-14.235004,-51.92528,36,Lufthansa
1959,Sao Paulo,Rio de Janeiro,Sao Paulo,Brazil,-14.235004,-51.92528,20,VASP
1962,Sao Paulo,Rio de Janeiro,Paraibuna,Brazil,-14.235004,-51.92528,26,VASP / Private
1963,Sao Paulo,Rio de Janeiro,Sao Paulo,Brazil,-14.235004,-51.92528,37,Cruzeiro
1964,Vitoria,Rio de Janeiro,Pico da Caledonia,Brazil,-14.235004,-51.92528,39,VASP
1950,Victoria,Salvador,Near Iheus,Brazil,-14.235004,-51.92528,13,Aerovias Brasil
1949,Porto Alegre,Sao Borja,Near Pelotas,Brazil,-14.235004,-51.92528,12,Viacao Aerea Gaucha S.A.
1958,Rio de Janeiro,Sao Paulo,Rio de Janeiro,Brazil,-14.235004,-51.92528,21,VASP
1959,Rio de Janeiro,Sao Paulo,Rid de Janeiro,Brazil,-14.235004,-51.92528,33,VASP
1957,Rio de Janerio,Sao Paulo,Anchieta Island,Brazil,-14.235004,-51.92528,26,REAL
1961,Sao Paulo,Trinidad,Campinas,Brazil,-14.235004,-51.92528,52,Aerolineas Argentinas
1962,Rio de Janerio,Vitoria,Vitoria,Brazil,-14.235004,-51.92528,23,Cruzeiro
1961,Leopoldville,Ndola,Ndola,Zambia,-13.133897,27.849332,16,United Nations Organization
1950,Nova Lisboa,Lobito,Near Bocoio,Angola,-11.202692,17.873887,9,DTA Angola Airlines
1954,Pucallpa,Lima,Jirishanga,Cerro de Pasco,-10.6776695,-76.2612763,24,TAM (Brazil)
1959,Talara,Arica,Moro,Peru,-9.189967,-75.015152,8,Lineas Aéreas Interpolar
1955,Lima,Cuzco,Pico Oiriruma-Vinac,Peru,-9.189967,-75.015152,19,Faucett
1966,Lima,Cuzco,Tomas,Peru,-9.189967,-75.015152,49,LANSA
1949,Tingo Maria,Huanuco,Near Huanuco,Peru,-9.189967,-75.015152,16,Faucett
1959,Bogota,Lima,Cerros Baco,Peru,-9.189967,-75.015152,14,AVIANCA
1964,Buenos Aires,Lima,Near Lima,Peru,-9.189967,-75.015152,46,Fuerza Aérea Argentina
