year,origin,dest,crash_city,crash_country,lat,long,death,airline
1946,Hobart,Melbourne,Off Hobart,Tasmania,-42.881903,147.323814,25,Australian National Airways
1934,Launceston,Melbourne,Bass Strait,Australia,-40.0914903,145.9663909,11,Holyman Airways
1938,Adelaide,Melbourne,Mt. Dandenong,Australia,-37.831048,145.3617543,18,Australian National Airways
1940,Melbourne,Canberra,Near Canberra,Australia,-35.282,149.128684,10,Military - Royal Australian Air Force
1947,Test flight,,Moron,Argentina,-34.6558611,-58.6167212,2,Flota Aérea Mercante Argentina
1947,Buenos Aires,Natal,Natal,Argentina,-34.6462173,-58.4290238,5,Flota Aérea Mercante Argentina
1934,Buenos Aires,Santiago,Junin,Argentina,-34.5885499,-60.949554,5,Panagra
1936,"Natal, Brazil","Bathhurst, Gambia",South AtlantiOcean,,-33.72434,-15.996094,4,Deutsche Lufthansa
1946,"Bathrust,",Argentina,Bathurst,Gambia,-33.4176529,149.5810314,24,British South American Airways
1937,"Las Palmas, Canary Islands","Bathhurst, Gambia",Bathurst,Gambia,-33.4176529,149.5810314,4,Deutsche Lufthansa
1932,"Santiago, Chile","Mendosa, Argentina",Mount El Plomo,near Vitacura,-33.4035551,-70.5688043,9,Panagra
1937,Mendosa,Cordoba,San Luis,Argentina,-33.3017267,-66.3377522,3,Pan American Grace Airways
1933,"Mendoza, Argentina","Santiago, Chili",Near Mendoza,Argentina,-32.8894587,-68.8458386,2,Pan American Grace Airways
1937,Brisbane,Sidney,McPherson Ranges,Queensland,-28.3333333,153,5,Airlines of Australia
1947,Buenos Aires,Santiago,Andes,Argentina,-27.7882061,-64.2739241,11,British South American Airways
1938,Guanabara,Victoria,Guanabara,Brazil,-26.3204885,-48.8255373,9,Syndicato Condor
1945,"Chabau, India","Karachi, Pakistan",Himalayas,,-24.791488,-65.4499197,44,Military - U.S. Army
1941,Porto Alegre,Rio de Janera,Near Sao Paulo,Brazil,-23.5505199,-46.6333094,8,Panair do Brasil
1946,London,Buenos Aires.,Near Rio de Janeiro,Brazil,-22.9068467,-43.1728965,21,FAMA (Argentina)
1939,Miami,Rio de Janerio,Rio de Janerio,Brazil,-22.9068467,-43.1728965,14,Pan American World Airways
1940,Rio de Janeiro,Sao Paulo,Rio de Janeiro,Brazil,-22.9068467,-43.1728965,18,
1946,Belo Horizonte,Rio de Janerio,Rio Doce,Brazil,-20.2448181,-42.896324,25,Panair do Brasil
1943,Townsville,Brisbane,Off Townsville,Australia,-19.3074497,146.7667477,27,Military - U.S. Air Force
1944,Merauke,,Near Mossman,Queensland,-16.4607867,145.3734582,20,Military - Royal Netherlands East Indies Air Force
1943,"Santiago, Chili","Arequipa, Peru",Near Chaparra,Peru,-15.74447,-73.871483,14,Pan American Grace Airlines
1939,Katherine,Adelaide,Katherine,Australia,-14.4649669,132.2642561,4,Guinea Airways
1938,Honolulu,Pago Pago,Pago Pago,U.S. Samoa,-14.33166,-170.711503,7,Pan American World Airways
1942,Brisbane,Bachelor Field,Pine Creek,Australia,-13.8248434,131.8349128,12,Guinea Airways Limited
1944,Port Moreaby,Nadzab,New Guinea,,-4.185235,136.8252838,21,Military - U.S. Army
1946,Guayaquil,Cuenca,Cuenca,Ecuador,-2.9001285,-79.0058965,30,ANDESA
1938,Kisumu,Alexandria,Kisumu,Kenya,-0.0917016,34.7679568,4,Imperial Airways
1947,Barranquilla,Bogota,Near Bogota,Colombia,4.7109886,-74.072092,53,AVIANCA
1934,Quiddo,Cartago,Pereira,Colombia,4.8087174,-75.690601,5,Pan American Airways (Scadta)
1947,"Medellin, Colombia","San Jose, Costa Rica",Near Medellin,Colombia,6.2530408,-75.5645737,8,TACA
1947,Bogota,Barrancabermeja,Puesto Araujo,Colombia,6.51669,-74.09996,17,AVIANCA
1947,Villavicencio,Bogota,Cordillera,Colombia,6.83221,-75.92076,9,VIARCO
1946,Kano,Ikeja,Near Abeokuta,Nigeria,7.1453088,3.3590446,18,Military -Royal Air Force
1937,"Santiago, Chili","Cristobal, Panama",Off Cristobal,Panama,8.537981,-80.782127,14,Pan American Grace Airways
1946,Iloilo,Cebu,Negros,Philippines,9.7150631,122.8986812,20,Military - U.S. Army Air Forces
1936,Miami,Rio de Janeiro,Port of Spain,Trinidad,10.6549013,-61.5019256,3,Pan American Airways
1945,Miami,Leopoldville,Port of Spain,Trinidad,10.6549013,-61.5019256,23,Pan American World Airways
1938,Alameda,Manila,PacifiOcean between Manila and Guam,,13.444304,144.793731,15,Pan American World Airways
1946,Grace Park AF,Lucena,Mt. Banahaur,Philippines,14.0675,121.4925,12,Far Eastern Air Transport
1946,"Kingston, Jamaca",San Jose,Caribbean,AtlantiOcean,14.525556,-75.818333,7,Winged Cargo Inc.
1945,Port of Spain,Fort de France,Fort de France,Martinique,14.6160647,-61.0587804,4,Pan American World Airways
1947,Lisbon,Dakar,Off Dakar,Senegal,14.7645042,-17.3660286,6,British South American Airways
1947,Karachi,Bombay,Korangi Creek,India,16.7967121,82.2252899,23,Air India
1942,Caomo,San Juan,Near Coamo,Puerto Rico,18.0787363,-66.3587056,22,Military - U.S. Army Air Forces
1941,Miami,Buenos Aires,San Juan,Puerto Rico,18.4655394,-66.1057355,2,Pan American World Airways
1931,Saigon,Karachi,Near Sandoway,Burma,18.4671203,94.3411001,4,Air Orient
1947,Puebla,Oaxaca,Near Puebla,Mexico,19.0412967,-98.2061996,21,Military - Mexican Air Force
1936,Mexico,Guatemala,Amemeca,Mexico,19.1223754,-98.7667481,14,Compania de Mexico
1938,Mexico City,Juarez,Balbuena,Mexico,19.3126928,-99.040554,1,Lineas Aéreas Mineras
1946,Mexico City,Veracruz,Near Cofre de Perote,Mexico,19.492,-97.15,15,Empressa Commun. Aéreas de Veracruz
1929,Santiago de Cuba,Havana,Santiago de Cuba,Cuba,20.01693,-75.8301537,2,Pan American Airways
1934,Santiago,Havana,Palma Soriano,Cuba,20.2218201,-75.9869609,4,Cubana de Aviacion
1929,Mexico City,Juarez,Cerro del Carbon,Mexico,20.403852,-97.2878798,4,Corp. Aeronautica de Transportes
1944,Antilla,Miami,Off Antilla,Cuba,20.832781,-75.842438,17,Pan American World Airways
1947,Dorango,Leon,Leon,Mexico,21.1250077,-101.6859605,5,Servicio Aéreo Panini
1934,"Omaha, NB","Kansas City, MO",Amazonia,Montana,21.1391916,-101.7616634,2,Rapid Air Transport
1937,"Rome, Italy",Kartoum,Wadi Halfa,Sudan,21.7991419,31.3713164,9,Ala Littoria
1946,Hong Kong,Singapore,Near Hong Kong International Airport,,22.308047,113.9184808,19,Military - Royal Air Force
1945,Shanghai,Canton,Between Shanghi and Canton,China,23.12911,113.264385,31,China National Aviation Corporation
1940,Jask to Sharjah,,Gulf of Oman,,24.7142573,58.7373634,8,Imperial Airways
1945,Chongqing,Kunming,Near Kunming,China,24.880095,102.832892,3,China National Aviation Corporation
1944,Dijan,Kunming,Kunming,China,24.880095,102.832892,6,China National Aviation Corporation
1945,Kunming,Sichang,Kunming,China,24.880095,102.832892,3,China National Aviation Corporation
1945,Chabua,Karachi,Near Chuka,India,25.4263309,83.1179848,44,Military - U.S. Army Air Forces
1929,"London, England",India,Jask,Iran,25.6577006,57.7856677,3,Imperial Airways
1938,"Hanoi, Vietnam","Paris, France",Datia,India,25.6653262,78.4609393,7,Air France
1938,Test flight,,Guadalupe,Mexico,25.6775595,-100.2596935,2,Mexicana
1936,Cochabamba,La Paz,Near Cordillera,Boliva,25.7653789,-100.365912,13,Lloyd Aereo Boliviano
1943,Kunming,Dinjan,Himalaya,China,25.7776833,-100.2481262,3,China National Aviation Corporation
1945,Kunming,Tengchung,Near Dinjan,India,27.5274157,95.2625477,4,China National Aviation Corporation
1944,Dinjan,Suifu,Near Sadiya,India,27.860175,95.6273951,3,China National Aviation Corporation
1945,Miami,Jacksonville,Lakeland,Florida,28.0394654,-81.9498042,2,National Airlines
1947,Newark,Miami,Melbourne,Florida,28.0836269,-80.6081089,14,Burke Air Transport
1932,Miami,Bimini,Off Miami,Florida,28.350488,-82.6928396,5,Bimini Airways
1943,Kunming,Assam,Luishui,China,28.46763,119.922796,3,China National Aviation Corporation
1937,Chicago,Daytona,Daytona Beach,Florida,29.2108147,-81.0228331,4,Eastern Air Lines
1947,Canton,Chungking,Chongqing,China,29.56301,106.551556,19,China National Aviation Corporation
