letter	frequency
chevrolet	130
buick	165
plymouth	150
amc	150
ford	140
ford	198
chevrolet	220
plymouth	215
pontiac	225
amc	190
citroen	115
chevrolet	165
ford	153
plymouth	175
amc	175
dodge	170
plymouth	160
ford	140
chevrolet	150
buick	225
toyota	95
plymouth	95
amc	97
ford	85
datsun	88
vw	46
peugeot	87
audi	90
saab	95
bmw	113
amc	90
ford	215
chevrolet	200
dodge	210
hyundai	193
datsun	88
chevrolet	90
toyota	95
ford	95
vw	48
amc	100
plymouth	105
chevrolet	100
ford	88
amc	100
chevrolet	165
pontiac	175
ford	153
plymouth	150
dodge	180
ford	170
pontiac	175
amc	110
chevrolet	72
pontiac	100
ford	88
mercury	86
buick	90
peugeot	70
fiat	76
toyota	65
datsun	69
vw	60
plymouth	70
toyota	95
dodge	80
vw	54
chevrolet	90
ford	86
chevrolet	165
pontiac	175
plymouth	150
ford	153
amc	150
mercury	208
buick	155
GMC	160
chrysler	190
mazda	97
amc	150
chevrolet	130
ford	140
plymouth	150
volvo	112
vw	76
peugeot	87
renault	69
ford	86
datsun	92
toyota	97
dodge	80
toyota	88
buick	175
amc	150
chevrolet	145
ford	137
dodge	150
mercury	198
chevrolet	150
ford	158
plymouth	150
chrysler	215
buick	225
amc	175
plymouth	105
chevrolet	100
amc	100
ford	88
plymouth	95
vw	46
chevrolet	150
ford	167
plymouth	170
GMC	180
amc	100
toyota	88
chevrolet	72
datsun	94
mazda	90
ford	85
mercury	107
fiat	90
chevrolet	145
pontiac	230
fiat	49
buick	75
audi	91
volvo	112
dodge	150
saab	110
toyota	122
GMC	180
plymouth	95
ford	95
amc	100
chevrolet	100
datsun	67
ford	80
toyota	65
chevrolet	75
chevrolet	100
amc	110
plymouth	105
ford	140
buick	150
dodge	150
ford	140
amc	150
audi	83
vw	67
buick	78
toyota	52
datsun	61
dodge	75
fiat	75
fiat	75
honda	97
subaru	93
fiat	67
plymouth	95
chevrolet	105
mercury	72
ford	72
pontiac	170
chevrolet	145
plymouth	150
ford	148
buick	110
chevrolet	105
amc	110
plymouth	95
buick	110
chevrolet	110
ford	129
toyota	75
ford	83
amc	100
pontiac	78
toyota	96
vw	71
