letter	frequency
G	2
G	3
G	6
G	1
G	3
G	1
G	1
G	2
G	1
G	3
G	2
G	2
G	2
G	3
G	3
G	2
G	3
G	3
G	2
G	1
G	3
G	2
K	4
K	4
K	2
K	2
K	1
K	3
K	2
K	2
K	1
K	3
K	3
K	2
K	3
K	3
K	2
K	3
K	3
K	3
K	3
K	2
K	2
K	2
K	6
N	4
N	2
N	3
N	3
N	2
P	3
P	3
P	1
P	2
P	3
P	3
P	3
P	1
P	3
Q	3
Q	1
K	6
N	4
N	2
N	3
N	3
N	2
P	3
P	3
P	1
P	2
P	3
P	3
P	3
P	1
P	3
Q	3
Q	1
Q	1
Q	4
Q	1
Q	2
Q	4
R	2
R	2
R	2
R	2
R	4
R	4
R	1
R	3
A	4
N	3
Q	5
Q	1
Q	4
Q	1
Q	2
Q	4
R	2
R	2
R	2
R	2
R	4
R	4
R	1
R	3
A	4
N	3
Q	5
K	6
N	4
N	2
N	3
N	3
N	2
P	3
P	3
P	1
P	2
P	3
P	3
P	3
P	1
P	3
Q	3
Q	1
Q	1
Q	4
Q	1
Q	2
Q	4
R	2
R	2
R	2
R	2
R	4
R	4
R	1
R	3
A	4
N	3
Q	5
G	2
G	3
G	6
G	1
G	3
G	1
G	1
G	2
N	2
N	3
N	3
N	2
P	3
P	3
P	1
P	2
P	3
P	3
P	3
P	1
P	3
Q	3
Q	1
Q	1
Q	4
K	2
K	2
K	1
K	3
K	3
K	2
K	3
K	3
K	2
K	3
K	3
K	3
K	3
K	2
K	2
K	2
K	6
P	3
P	1
P	2
P	3
P	3
P	3
P	1
P	3
P	1
P	2
P	3
P	3
P	3
P	1
P	3
P	3
P	1
P	2
P	3
P	3
P	3
P	1
P	3
Q	3
Q	1
Q	1
Q	4
K	2
K	2
K	1
K	3
K	3
K	2
K	3
K	3
K	2
K	3
K	3
K	3
K	3
K	2
K	2
K	2
K	6
P	3
P	1
P	2
P	3
P	3
P	3
P	1
P	3
P	1
P	4
Q	3
Q	1
Q	1
Q	4
K	2
K	2
K	1
K	3
K	3
K	2
K	3
K	3
K	2
K	3
K	3
K	3
K	3
K	2
K	2
K	2
K	6
P	3
P	1
P	2
P	3
P	3
P	3
P	1
P	3
P	1
P	2
Q	3
Q	1
Q	1
Q	4
K	2
K	2
K	1
K	3
K	3
K	2
K	3
K	3
K	2
K	3
K	3
