age,Fat,population
Apple Cinnamon Cheerios,2,1.5
Basic 4,2,2
Cheerios,2,2
Cinnamon Toast Crunch,3,0
Clusters,2,2
Cocoa Puffs,1,0
Count Chocula,1,0
Crispy Wheat & Raisins,1,2
Golden Grahams,1,0
Honey Nut Cheerios,1,1.5
Kix,1,0
Lucky Charms,1,0
Multi-Grain Cheerios,1,2
Oatmeal Raisin Crisp,2,1.5
Raisin Nut Bran,2,2.5
Total Corn Flakes,1,0
Total Raisin Bran,1,4
Total Whole Grain,1,3
Triples,1,0
Trix,1,0
Wheaties,1,3
Wheaties Honey Gold,1,1
All-Bran,1,9
All-Bran with Extra Fiber,0,14
Apple Jacks,0,1
Corn Flakes,0,1
