letter	frequency						
Cash	3						
StoreCard	2						
Check	2						
Check	2						
StoreCard	3						
StoreCard	3						
Cash	1						
DebitCard	7						
Cash	2						
StoreCard	2						
StoreCard	5						
Cash	3						
Check	3						
Cash	2						
StoreCard	2						
Check	2						
StoreCard	4						
Check	2						
StoreCard	3						
Other	5						
Cash	2						
Check	2						
Cash	2						
DebitCard	4						
Cash	3						
StoreCard	2						
Cash	2						
StoreCard	2						
Cash	3						
StoreCard	2						
StoreCard	5						
StoreCard	3						
Check	1						
Cash	2						
StoreCard	3						
Cash	4						
DebitCard	2						
Cash	1						
StoreCard	1						
DebitCard	2						
Cash	2						
Cash	2						
StoreCard	2						
StoreCard	2						
Check	2						
Cash	2						
StoreCard	4						
Check	4						
StoreCard	5						
Cash	3						
Check	2						
StoreCard	1						
Cash	2						
DebitCard	5						
StoreCard	2						
Cash	1						
Check	2						
StoreCard	3						
Cash	4						
StoreCard	3						
Cash	6						
Check	2						
StoreCard	2						
DebitCard	2						
Cash	1						
Cash	5						
Check	5						
StoreCard	2						
Check	2						
Cash	5						
StoreCard	3						
Cash	2						
Cash	2						
StoreCard	2						
StoreCard	2						
Cash	3						
DebitCard	4						
Cash	2						
StoreCard	2						
StoreCard	3						
Cash	2						
Check	2						
Check	2						
DebitCard	2						
StoreCard	1						
Cash	4						
DebitCard	3						
Cash	2						
StoreCard	4						
Cash	5						
Cash	5						
Check	1						
Check	2						
DebitCard	7						
Cash	2						
StoreCard	3						
StoreCard	2						
Cash	2						
StoreCard	2						
Cash	5						
DebitCard	4						
Cash	3						
StoreCard	6						
StoreCard	3						
Cash	1						
StoreCard	3						
Cash	4						
StoreCard	1						
Check	4						
Cash	2						
StoreCard	1						
Cash	3						
StoreCard	2						
Cash	5						
Cash	2						
Cash	1						
Cash	2						
StoreCard	3						
StoreCard	2						
DebitCard	3						
Cash	3						
Check	1						
DebitCard	4						
StoreCard	3						
Check	1						
Cash	1						
StoreCard	1						
Check	2						
StoreCard	1						
Cash	3						
StoreCard	1						
StoreCard	2						
Cash	8						
DebitCard	2						
Cash	4						
Cash	2						
Cash	1						
Cash	1						
Cash	4						
Cash	3						
Check	2						
Cash	1						
Cash	2						
